continentExp;countriesAndTerritories;Mín. de popData2019; cases ;deaths;% obesidad
Africa;South Africa; 58.558.267 ; 860.964 ;23276;51,9
Africa;Morocco; 36.471.766 ; 399.609 ;6624;59,5
Africa;Egypt; 100.388.076 ; 121.575 ;6920;61,9
Africa;Ethiopia; 112.078.727 ; 116.769 ;1806;18,1
Africa;Tunisia; 11.694.721 ; 111.361 ;3894;62,2
Africa;Algeria; 43.053.054 ; 92.102 ;2596;60,7
Africa;Kenya; 52.573.967 ; 91.892 ;1587;22,6
Africa;Libya; 6.777.453 ; 90.779 ;1299;65,7
Africa;Nigeria; 200.963.603 ; 73.175 ;1197;26
Africa;Ghana; 30.417.858 ; 53.014 ;327;29,3
Africa;Uganda; 44.269.587 ; 27.532 ;221;19
Africa;Cameroon; 25.876.387 ; 25.143 ;443;29,7
Africa;Cote dIvoire; 25.716.554 ; 21.680 ;133;28,7
Africa;Sudan; 42.813.237 ; 21.386 ;1347;0
Africa;Zambia; 17.861.034 ; 18.274 ;367;23,9
Africa;Madagascar; 26.969.306 ; 17.638 ;258;21,1
Africa;Senegal; 16.296.362 ; 17.075 ;349;24,9
Africa;Mozambique; 30.366.043 ; 16.954 ;142;23,1
Africa;Namibia; 2.494.524 ; 16.536 ;160;36,6
Africa;Angola; 31.825.299 ; 16.188 ;371;23,9
Africa;Democratic Republic of the Congo; 86.790.568 ; 14.512 ;355;22,1
Africa;Guinea; 12.771.246 ; 13.420 ;79;23,8
Africa;Botswana; 2.303.703 ; 12.501 ;37;38,4
Africa;Cape Verde; 549.936 ; 11.357 ;110;32,1
Africa;Zimbabwe; 14.645.473 ; 11.246 ;307;32,4
Africa;Mauritania; 4.525.698 ; 10.780 ;222;31,5
Africa;Gabon; 2.172.578 ; 9.330 ;63;36,9
Africa;Eswatini; 1.148.133 ; 6.768 ;127;33
Africa;Rwanda; 12.626.938 ; 6.659 ;56;22
Africa;Malawi; 18.628.749 ; 6.066 ;187;20,1
