bedrooms;bathrooms;sqft_living;sqft_lot;floors;yr_built;price
5;2.75;3595;5639;2;2014;861990
3;1.75;1540;1044;3;2014;549000
3;3.5;1590;1102;3;2010;518500
3;2.5;2010;2287;2;2014;453246
3;2.25;1170;1249;3;2014;519950
3;2.5;2440;4587;2;2010;677900
3;2.25;1270;1566;2;2014;625504
4;2.75;3820;26300;2;2014;770000
5;2.75;3150;7119;2;2013;819900
4;3.5;3040;8414;2;2010;684000
3;2.5;2110;5608;1;2013;604950
3;2.25;1860;5028;2;2012;355000
4;2.75;3390;6298;2;2011;859900
3;2.5;2870;5163;2;2014;880000
3;2.5;1805;3402;2;2009;266000
4;4;6050;84942;2.5;2009;930000
3;2.5;1660;1458;3;2014;559950
3;2.5;1660;1091;3;2015;729500
5;2.75;2990;6768;2;2014;802541
3;2.75;2090;8354;2;2012;403000
4;2.5;2156;3562;2;2012;347500
2;2.5;2380;6600;1;2010;699800
3;1.5;1240;1221;2;2009;320000
3;3.25;2660;17852;2.5;2014;379000
3;3.5;2480;3200;2;2010;910000
4;3.5;3810;13592;1;2013;839900
2;2.75;1370;1140;2;2009;359000
2;2.75;1760;4139;2;2010;420000
3;2.25;1422;3677;2;2012;245000
2;2.5;1380;1073;2;2011;285000
4;2.5;2820;6180;2;2013;735000
2;2;920;1201;2;2009;363000
3;3.5;1810;1846;2;2009;625000
3;2.5;1981;5700;2;2010;303700
4;2.5;2740;7571;2;2009;706000
3;3.5;1820;1991;2;2014;499950
3;2.5;1690;1200;2;2013;409900
3;2.5;2660;4975;2;2014;599950
4;4;3570;8250;2;2015;597326
5;2.75;2830;6137;2;2010;820000
3;2.5;1710;3795;2;2009;411753
6;4;4470;17877;3;2013;598800
3;2.25;2190;2416;3;2014;719950
2;2.75;1370;1140;2;2009;369950
3;2.25;1552;3600;2;2012;282000
3;2.25;1260;1488;3;2009;275000
4;2.5;1580;3632;2;2011;299900
1;1;710;6000;1.5;2015;385195
5;3.5;3700;5400;2;2011;830000
3;2.5;2160;3920;2;2014;856000
5;3.5;3130;4797;2;2014;866059
4;3.5;3915;6364;2;2014;963990
3;2.25;1530;4580;2;2011;335000
4;3;2940;7108;2;2011;870000
4;2.5;2900;6736;2;2013;527000
2;2;1140;1118;2;2009;247300
3;2.5;1553;1991;3;2014;412000
3;2.25;2170;5001;2;2014;802000
4;3.5;3210;5000;3;2014;889000
3;3;2640;5978;2;2012;535000
3;2.5;1640;1269;3;2009;579000
4;3.5;3080;4945;2;2014;866500
3;2.75;1670;1350;3;2014;589950
3;2.5;1450;4106;2;2011;279000
4;2.5;2560;5428;2;2012;350000
3;2.25;1670;1396;2;2015;631000
4;2.5;2154;6050;2;2012;335000
4;2.5;2680;4548;2;2009;750000
4;3.75;1980;4095;2;2009;912000
3;2.5;1500;1375;2;2014;649950
3;2.25;1990;4977;3;2012;715000
3;2.5;1610;1246;2;2014;659950
3;2;1890;1599;2;2012;458500
4;2.75;2890;7821;2;2014;978000
4;2;2470;1831;2;2009;305000
3;2.5;1690;1618;2;2014;372977
2;1.75;1210;1040;2;2014;357186
5;3.25;4115;7910;2;2014;988830
4;2.5;2930;8679;2;2014;635000
3;2.5;1840;5011;2;2012;317000
3;2.5;2010;2386;2;2014;479990
2;2.5;2270;1763;3;2009;656000
4;3.5;3695;6556;2;2014;994900
4;2.75;3010;7427;2;2010;800000
4;2.5;3370;7200;2;2014;890000
4;2.5;1540;1994;2;2014;439990
4;2.5;2038;7643;2;2011;319950
3;2.5;1690;1613;2;2014;386591
3;2.5;2080;3920;2;2010;448500
5;2.75;2844;3990;2;2013;359950
5;4;3460;5400;2;2012;980000
2;2.25;1230;1280;2;2012;387000
3;2.5;2160;8809;1;2014;730000
2;1.75;1210;1032;2;2014;357562
4;2.5;2811;7251;2;2009;455000
4;2.75;3090;6200;2;2014;908950
2;2;1450;989;3;2014;680000
1;1;1160;64469;1;2009;440000
3;2.25;1380;3015;2;2009;435000
5;2.75;3360;9200;2;2014;738515
3;1.75;1255;1113;3;2010;360000
5;2.5;2130;8428;2;2013;380000
3;3.5;1730;1349;3;2009;635000
4;2.5;2930;8641;2;2010;750000
5;4.5;4440;9784;2;2012;600000
4;2.5;2130;4750;2;2009;370000
2;2.5;1700;2513;2;2009;378000
3;2.5;1260;1622;3;2009;305000
3;2.5;2070;4689;2;2013;359500
